RELATION,#TP,#TN,#FP,#FN,#TRAIN_EXPL,Accuracy,Precision,Recall,F1-Score
SUBSIDIARY_OF,58.0,796.0,3.0,1.0,175.0,0.9953379953379954,0.9508196721311475,0.9830508474576272,0.9666666666666667
FOUNDED_BY,43.0,783.0,17.0,15.0,189.0,0.9627039627039627,0.7166666666666667,0.7413793103448276,0.728813559322034
EMPLOYEE_OR_MEMBER_OF,62.0,760.0,12.0,24.0,301.0,0.958041958041958,0.8378378378378378,0.7209302325581395,0.7749999999999999
CEO,62.0,784.0,11.0,1.0,179.0,0.986013986013986,0.8493150684931506,0.9841269841269841,0.9117647058823529
DATE_FOUNDED,44.0,790.0,8.0,16.0,190.0,0.972027972027972,0.8461538461538461,0.7333333333333333,0.7857142857142856
HEADQUARTERS,56.0,795.0,1.0,6.0,179.0,0.9918414918414918,0.9824561403508771,0.9032258064516129,0.9411764705882352
EDUCATED_AT,32.0,815.0,5.0,6.0,161.0,0.9871794871794872,0.8648648648648649,0.8421052631578947,0.8533333333333334
NATIONALITY,48.0,749.0,35.0,26.0,235.0,0.9289044289044289,0.5783132530120482,0.6486486486486487,0.6114649681528662
PLACE_OF_RESIDENCE,67.0,767.0,15.0,9.0,200.0,0.972027972027972,0.8170731707317073,0.881578947368421,0.8481012658227848
PLACE_OF_BIRTH,64.0,746.0,26.0,22.0,235.0,0.9440559440559441,0.7111111111111111,0.7441860465116279,0.7272727272727273
DATE_OF_DEATH,49.0,798.0,9.0,2.0,190.0,0.9871794871794872,0.8448275862068966,0.9607843137254902,0.8990825688073395
DATE_OF_BIRTH,54.0,731.0,33.0,40.0,273.0,0.914918414918415,0.6206896551724138,0.574468085106383,0.5966850828729281
SPOUSE,52.0,794.0,8.0,4.0,141.0,0.986013986013986,0.8666666666666667,0.9285714285714286,0.896551724137931
CHILD_OF,38.0,803.0,9.0,8.0,167.0,0.9801864801864801,0.8085106382978723,0.8260869565217391,0.8172043010752688
POLITICAL_AFFILIATION,52.0,799.0,5.0,2.0,157.0,0.9918414918414918,0.9122807017543859,0.9629629629629629,0.9369369369369369
PLACE_OF_DEATH,15.0,840.0,0.0,3.0,54.0,0.9965034965034965,1.0,0.8333333333333334,0.9090909090909091
AUTHOR,24.0,830.0,0.0,4.0,86.0,0.9953379953379954,1.0,0.8571428571428571,0.923076923076923
MACRO AVERAGE,820.0,13380.0,197.0,189.0,3112.0,0.9735362676539147,0.8357404046736173,0.8309361974896066,0.8310550840443249
MICRO AVERAGE,,,,,,0.9735362676539148,0.8062930186823992,0.8126858275520317,0.8094768015794669
